,Rank,Institution,Region,Total Score
520,521,Shaanxi Xueqian Normal University,Shaanxi,95.0
521,522,Daqing Normal University,Heilongjiang,94.9
522,523,Jingchu University of Technology,Hubei,94.7
523,524,Zhengzhou Institute of Technology,Henan,94.5
524,525,Chuxiong Normal University,Yunnan,94.2
525,526,Liupanshui Normal University,Guizhou,94.1
526,527,Wuzhou University,Guangxi,93.4
527,528,Hezhou University,Guangxi,93.1
528,529,Guilin University of Aerospace Technology,Guangxi,92.7
529,530,Changsha Normal University,Hunan,92.5
530,531,Yuzhang Normal University,Jiangxi,92.4
531,532,Ankang University,Shaanxi,92.3
532,533,Henan Institute of Technology,Henan,91.7
533,533,Tangshan College,Hebei,91.7
534,535,Hebei University of Environmental Engineering,Hebei,91.4
535,536,Yuncheng University,Shanxi,91.3
536,537,Baoding University,Hebei,91.2
537,538,Baoshan University,Yunnan,90.9
538,539,North China Institute of Science and Technology,Hebei,90.6
539,540,Lanzhou University of Arts and Science,Gansu,90.4
540,541,"College of Applied Science, Jiangxi University of Science and Technology",Jiangxi,90.3
541,542,Lanzhou Institute of Technology,Gansu,90.2
542,542,Xingyi Normal University for Nationalities,Guizhou,90.2
543,542,Xinzhou Teachers University,Shanxi,90.2
544,545,"Shengli College, China University of Petroleum",Shandong,90.0
545,546,Cangzhou Normal University,Hebei,89.5
546,547,Qiongtai Normal University,Hainan,89.4
547,547,Xingtai University,Hebei,89.4
548,549,Sichuan University for Nationalities,Sichuan,88.4
549,550,Handan College,Hebei,88.0
550,551,Guizhou University of Engineering Science,Guizhou,87.9
551,552,Heihe University,Heilongjiang,87.8
552,553,Baise University,Guangxi,87.5
553,554,Hengshui University,Hebei,86.9
554,555,Guangxi Normal University for Nationalities,Guangxi,86.5
555,555,Suihua University,Heilongjiang,86.5
556,557,Puer University,Yunnan,86.3
557,558,Hanjiang Normal University,Hubei,85.7
558,559,Hebei Normal University for Nationalities,Hebei,85.4
559,559,Jinzhong University,Shanxi,85.4
560,559,Wenshan University,Yunnan,85.4
561,562,Xinjiang Institute of Engineering,Xinjiang,85.2
562,563,Ordos Institute of Technology,Inner Mongolia,85.0
563,564,"East China Institute of Technology, Yangtze River College",Jiangxi,84.2
564,564,Luliang University,Shanxi,84.2
565,566,Jining Normal University,Inner Mongolia,83.5
566,567,Taiyuan University,Shanxi,83.4
567,568,Guangxi Science and Technology Normal University,Guangxi,83.2
568,569,Shanxi Institute of Technology,Shanxi,82.9
569,569,Zhangjiakou University,Hebei,82.9
570,571,Hechi University,Guangxi,82.4
571,572,Hetao University,Inner Mongolia,82.3
572,573,West Yunnan University,Yunnan,82.2
573,574,Heilongjiang University of Technology,Heilongjiang,80.9
