,Rank,Institution,Region,Total Score
356,356,Quanzhou Normal University,Fujian,121.6
357,358,Shandong Jiaotong University,Shandong,121.3
358,359,"Nanjing University of Information Science and Technology, Binjiang College",Jiangsu,120.8
359,360,Hengyang Normal University,Hunan,120.7
360,360,TianJin University of Technology and Education,Tianjin,120.7
361,362,Hubei University of Science and Technology,Hubei,120.3
362,362,Panzhihua University,Sichuan,120.3
363,362,Yichun University,Jiangxi,120.3
364,365,Zhongkai University of Agriculture and Engineering,Guangdong,120.0
365,366,Fuyang Normal University,Anhui,119.8
366,366,Nanjing XiaoZhuang University,Jiangsu,119.8
367,368,Jiangsu Second Normal University,Jiangsu,119.5
368,368,LingNan Normal University,Guangdong,119.5
369,370,Tibet Agriculture and Animal Husbandry University,Tibet,119.4
370,371,Huizhou University,Guangdong,119.2
371,372,Hunan University of Arts and Science,Hunan,118.7
372,373,Neijiang Normal University,Sichuan,118.4
373,374,Heilongjiang Institute of Technology,Heilongjiang,118.0
374,374,Nanyang Institute of Technology,Henan,118.0
375,376,Lishui University,Zhejiang,117.7
376,376,Qiqihar University,Heilongjiang,117.7
377,376,Zhejiang University of Water Resources and Electric Power,Zhejiang,117.7
378,379,Anyang Normal University,Henan,117.3
379,379,Huanghuai University,Henan,117.3
380,381,Nanyang Normal University,Henan,117.2
381,382,Shangrao Normal University,Jiangxi,117.0
382,383,Dezhou University,Shandong,116.9
383,384,Yulin Normal University,Guangxi,116.8
384,385,Shaanxi University of Technology,Shaanxi,116.5
385,385,Xi'an University,Shaanxi,116.5
386,385,Xuzhou Institute of Technology,Jiangsu,116.5
387,388,Zhoukou Normal University,Henan,116.2
388,389,Taishan University,Shandong,116.1
