,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Shandong Normal University,1950,37008,151,31699,88,5309,63
0,Hebei University of Technology,1903,30382,194,23111,82,6500,112
0,Qingdao University,1909,42887,605,34150,486,8737,119
0,Taiyuan University of Technology,1902,38330,490,31139,270,6429,220
0,Guizhou University,1902,41962,422,32151,220,9120,202
0,Nanjing Forestry University,1902,22849,139,18909,38,3533,101
0,Shanghai Normal University,1954,29918,481,21256,357,8662,124
0,Wuhan University of Science and Technology,1898,32323,382,25316,322,7007,60
0,Inner Mongolia University,1957,,,,,,
0,Zhejiang Sci-Tech University,1897,22903,779,18372,503,4531,276
0,Northeast Forestry University - China,1952,,,,,,
0,Fujian Agriculture and Forestry University,1936,28002,260,22052,6,5295,254
0,Xi'an University of Technology,1949,25461,15,18056,5,6511,10
0,Hainan University,1958,,,,,,
0,Jiangxi Normal University,1940,,,,,,
0,Northeast Agricultural University - China,1948,28420,211,23468,23,4183,188
0,Changsha University of Science and Technology,1956,,,,,,
0,Xi'an University of Architecture and Technology,1895,,,,,,
0,Hubei University,1931,22310,14,19232,14,3078,0.0%
0,Kunming University of Science and Technology,1954,44533,675,32463,206,10864,469
0,Jiangsu Normal University,1952,,,,,,
0,Shandong University of Science and Technology,1951,42404,265,36348,191,6056,74
0,Liaoning University,1948,,,,,,
0,Southwest Petroleum University,1958,36940,543,30552,484,6388,59
0,Hangzhou Normal University,1908,,,,,,
0,Hebei University,1921,28789,165,21460,100,7329,65
0,Shaanxi University of Science and Technology,1958,21688,113,17861,2,3827,111
0,Anhui Normal University,1928,,,,,,
0,Beijing University of Civil Engineering and Architecture,1936,,,,,,
0,Huaqiao University,1960,30702,4484,25553,3721,5149,763
0,Shantou University,1981,12461,20,9161,12,3054,8
0,Xinjiang University,1924,,,,,,
0,Jiangsu University of Science and Technology,1933,,,,,,
0,Shihezi University,1949,,,,,,
0,China Jiliang University,1978,,,,,,
0,Henan Agricultural University,1902,,,,,,
0,Chongqing University of Posts and Telecommunications,1950,,,,,,
0,Hubei University of Technology,1952,,,,,,
0,Shenyang Agricultural University,1952,,,,,,
0,Sichuan Agricultural University,1906,43994,109,37994,9,6000,100
0,Wuhan Institute of Technology,1972,,,,,,
0,Shandong Agricultural University,1906,,,,,,
0,Changchun University of Science and Technology,1958,,,,,,
0,Tianjin Normal University,1958,,,,,,
0,Ningxia University,1958,,,,,,
0,Heilongjiang University,1941,,,,,,
0,Hunan Agricultural University,1903,,,,,,
0,Changzhou University,1978,20113,281,17384,276,2688,5
0,Zhejiang A&F University,1958,,,,,,
0,Hebei Normal University,1902,,,,,,
0,Henan Normal University,1923,37978,23,32322,22,5656,1
0,Chengdu University of Technology,1956,,,,,,
0,Tiangong University,1912,,,,,,
0,Wenzhou University,1933,,,,,,
0,Qilu University of Technology,1948,,,,,,
0,Guangxi Normal University,1932,,,,,,
0,Nantong University,1912,30684,614,27565,578,3119,36
0,Anhui Agricultural University,1928,,,,,,
0,University of Jinan,1948,37413,291,34783,182,2521,109
0,Jilin Agricultural University,1948,19264,164,15586,22,3678,142
0,Wuhan Textile University,1958,,,,,,
0,Nanchang Hangkong University,1952,,,,,,
0,Henan University of Science and Technology,1952,43420,208,40403,203,3017,5
0,Shanghai Ocean University,1912,,,,,,
0,Jiangxi University of Science and Technology,1958,,,,,,
0,Qufu Normal University,1955,38174,3,33823,1,4160,2
0,Xi'an University of Science and Technology,1958,,,,,,
0,Jimei University,1918,,,,,,
0,China Three Gorges University,1946,,,,,,
0,North China University of Technology,1946,,,,,,
0,Anhui University of Technology,1958,,,,,,
0,Yanbian University,1949,24425,225,19348,116,5077,109
0,Northwest Normal University China,1902,,,,,,
0,East China Jiaotong University,1971,,,,,,
0,Henan Polytechnic University,1909,,,,,,
0,Shanghai Maritime University,1909,30563,172,24747,70,5816,102
0,Liaoning Normal University,1951,,,,,,
